Tytuł,Autor,Rok,Dostępność
Cierpienia młodego Wertera,Goethe,1774,False
Romeo i Julia,Shakespeare,1597,False
Hamlet,Shakespeare,1603,False
Makbet,Shakespeare,1606,True
Burza,Shakespeare,1611,True
Król Lear,Shakespeare,1606,False
Opowieść wigilijna,Dickens,1843,True
David Copperfield,Dickens,1850,False
Oliver Twist,Dickens,1837,True
Duma i uprzedzenie,Austen,1813,True
Rozważna i romantyczna,Austen,1811,True
Jane Eyre,Bronte,1847,False
Wichrowe wzgórza,Bronte,1847,True
Moby Dick,Melville,1851,True
Przygody Hucka Finna,Twain,1884,False
Przygody Tomka Sawyera,Twain,1876,True
Robinson Crusoe,Defoe,1719,False
Wyspa skarbów,Stevenson,1883,True
Księga dżungli,Kipling,1894,True
Zew krwi,London,1903,False
Biały kieł,London,1906,True
W pustyni i w puszczy,Sienkiewicz,1911,True
Mały Książę,Exupéry,1943,False
Harry Potter i Kamień Filozoficzny,Rowling,1997,True
Harry Potter i Komnata Tajemnic,Rowling,1998,False
Harry Potter i Więzień Azkabanu,Rowling,1999,True
Harry Potter i Czara Ognia,Rowling,2000,True
Harry Potter i Zakon Feniksa,Rowling,2003,False
Harry Potter i Książę Półkrwi,Rowling,2005,True
Harry Potter i Insygnia Śmierci,Rowling,2007,True
